index,US Equities,Developed ExUS Equity,EM Equity,US Bond,ExUS Bond,Cash
8/31/2016,-0.0043985,-0.0005773,0.0222493,-0.002453,-0.0084539,0.0001863
9/30/2016,0.0002282,0.0141821,0.0098761,0.0011473,0.009856,0.0002431
10/31/2016,-0.0201573,-0.0205993,0.0016549,-0.0081022,-0.0452767,0.0001303
11/30/2016,0.0158272,-0.0171326,-0.0442086,-0.0282487,-0.0531564,0.0002044
12/31/2016,0.015439,0.0323781,0.0037626,0.0007884,-0.0102197,0.0002829
1/31/2017,0.0308186,0.0302106,0.0510794,0.000902,0.0172902,0.0003357
2/28/2017,0.0407827,0.0129253,0.0336882,0.0067545,0.0023559,0.0003892
3/31/2017,0.0112118,0.0246855,0.0279293,0.0002059,0.002112,0.0003238
4/30/2017,0.0273292,0.0239774,0.0177835,0.008611,0.0153821,0.0006397
5/31/2017,0.0280376,0.0349477,0.0251763,0.0079179,0.021175,0.0005298
6/30/2017,-0.001052,0.0017854,0.0072181,-0.0037877,-0.0015971,0.0007947
7/31/2017,0.0277798,0.0304883,0.0516674,0.0057342,0.0273093,0.0006782
8/31/2017,0.0111176,0.0007891,0.0213022,0.0092667,0.011186,0.00089
9/30/2017,0.010695,0.0264023,-0.0041862,-0.005458,-0.0128689,0.0009423
10/31/2017,0.0304655,0.0141412,0.0352269,0.0002388,-0.0073323,0.0007911
11/30/2017,0.0268364,0.0110329,0.0064561,-0.0023703,0.0211854,0.0007413
12/31/2017,0.0080318,0.0188858,0.0395108,0.0032114,0.0017997,0.0009958
1/31/2018,0.0792814,0.0469448,0.076128,-0.0138181,0.03058,0.001052
2/28/2018,-0.0238749,-0.0456156,-0.0450226,-0.0082813,-0.0072868,0.0010166
3/31/2018,-0.0314627,-0.0149389,-0.0161639,0.0064403,0.0148702,0.0013922
4/30/2018,0.0125246,0.0219204,0.0003627,-0.0068956,-0.0228499,0.0013031
5/31/2018,0.0409652,-0.0158681,-0.037809,0.0078451,-0.0188437,0.0014441
6/30/2018,0.01012,-0.0115213,-0.043557,-0.0001978,-0.0060194,0.0015792
7/31/2018,0.0294174,0.0219395,0.0237105,-0.0002163,-0.0048371,0.0014639
8/31/2018,0.0445988,-0.0165485,-0.0215095,0.006965,-0.0035583,0.0017831
9/30/2018,0.0074471,0.0070755,-0.0075182,-0.0068817,-0.01217,0.0015289
10/31/2018,-0.0872841,-0.0814126,-0.0848606,-0.0065259,-0.0122829,0.0017152
11/30/2018,0.0161807,-0.0009305,0.0439089,0.0081197,0.0000104,0.0019156
12/31/2018,-0.0848936,-0.0529861,-0.0176972,0.019478,0.0229687,0.0018963
1/31/2019,0.0872666,0.0725891,0.0819831,0.0110317,0.0188119,0.0019865
2/28/2019,0.0301702,0.024678,0.0042144,-0.000337,-0.0110766,0.0018668
3/31/2019,0.0298901,0.0060291,0.0068878,0.0184753,0.0077066,0.002218
4/30/2019,0.0474344,0.0282177,0.0189021,-0.0000902,-0.0054916,0.0018572
5/31/2019,-0.0605875,-0.046203,-0.0647236,0.0166478,0.0122076,0.0022471
6/30/2019,0.0676873,0.0573936,0.0582571,0.0126841,0.0291084,0.0021095
7/31/2019,0.0177874,-0.0107305,-0.0133619,0.0030284,-0.0080344,0.0017817
8/31/2019,-0.0072929,-0.0239098,-0.045336,0.0204115,0.0199343,0.0018647
9/30/2019,-0.0012673,0.0285169,0.0205995,-0.0044845,-0.0166755,0.0015992
10/31/2019,0.0251714,0.0343183,0.0433654,0.0039602,0.0090087,0.0017001
11/30/2019,0.0433848,0.0139103,-0.0006429,-0.0013685,-0.015716,0.0013519
12/31/2019,0.0330786,0.0337126,0.072031,0.0011976,0.0090565,0.0013857
1/31/2020,0.0316201,-0.0203636,-0.0465741,0.0158122,0.0088718,0.0013688
2/29/2020,-0.0647945,-0.0899528,-0.0551655,0.0156901,-0.001332,0.0012994
3/31/2020,-0.0906987,-0.143274,-0.1643266,-0.0041278,-0.0310433,0.0019345
4/30/2020,0.1463762,0.0755103,0.0971722,0.0183058,0.0189464,0.0000431
5/31/2020,0.0577989,0.0475748,0.0156751,0.0086014,0.0038082,0.000035
6/30/2020,0.0433311,0.0314793,0.0745248,0.0073578,0.0102785,0.0001152
7/31/2020,0.0778114,0.0275735,0.0858588,0.0107423,0.0495201,0.0001358
8/31/2020,0.1148118,0.0555675,0.025069,-0.0026803,0.0009388,0.0000869
9/30/2020,-0.0570665,-0.0241486,-0.0194332,-0.0007536,-0.0058867,0.0001006
10/31/2020,-0.0362098,-0.0383401,0.0214284,-0.0044833,0.002034,0.0000827
11/30/2020,0.094885,0.1502153,0.0997149,0.0097879,0.0228102,0.0000789
12/31/2020,0.0379435,0.0485441,0.0746888,0.0027261,0.0219491,0.000092
1/31/2021,0.0157603,-0.0094031,0.0249152,-0.0071322,-0.0132312,0.0000677
2/28/2021,-0.020359,0.0252261,0.012936,-0.0205211,-0.0223857,0.000067
3/31/2021,0.0147893,0.0255528,-0.012088,-0.0125686,-0.0261597,0.0000395
4/30/2021,0.0778102,0.0328345,0.0301851,0.0102463,0.0150205,0.0000191
5/31/2021,-0.0168906,0.0334417,0.0227703,0.0047413,0.0123123,0.0000128
6/30/2021,0.0683012,-0.0105442,0.0035422,0.0060213,-0.0212027,-0.0000228
7/31/2021,0.0356596,0.0079421,-0.0614242,0.0110076,0.0165165,0.0000427
8/31/2021,0.0415207,0.0189034,0.0246375,-0.0024052,-0.0081809,0.0000384
9/30/2021,-0.0578704,-0.0284288,-0.0341148,-0.0104259,-0.0282771,0.0000339
10/31/2021,0.0870811,0.0270453,0.0076669,-0.003484,-0.0053993,0.0000152
11/30/2021,0.0032854,-0.0476483,-0.0370417,0.0022611,-0.0092465,0.0000511
12/31/2021,0.0147056,0.0498641,0.0228047,-0.0012692,-0.0033295,0.0000604
1/31/2022,-0.0879311,-0.0486315,-0.0222027,-0.0204114,-0.0241607,0.0000173
2/28/2022,-0.0425297,-0.0150355,-0.0218273,-0.0101517,-0.0131049,0.0000707
3/31/2022,0.0446385,0.0119618,-0.016159,-0.0303853,-0.0370378,0.000188
