Name,SecId,Enhanced Index,Index Fund
Vanguard Small Cap Index Adm,FOUSA00L7W,No,Yes
MainStay S&P 500 Index Simple,F000015DOA,No,Yes
MainStay S&P 500 Index I,FOUSA00E93,No,Yes
MainStay S&P 500 Index A,FOUSA04BKY,No,Yes
MainStay S&P 500 Index Inv,FOUSA06OKN,No,Yes
BNY Mellon MidCap Index I,F00000XF1J,No,Yes
BNY Mellon MidCap Index Inv,FOUSA00EEZ,No,Yes
BNY Mellon S&P 500 Index,FOUSA00EF0,No,Yes
Vanguard Long-Term Bond Index Instl Plus,F00000MPYN,No,Yes
Vanguard Long-Term Bond Index Admiral,F000011J08,No,Yes
Vanguard Long-Term Bond Index Instl,FOUSA05GP0,No,Yes
BNY Mellon Bond Market Index I,FOUSA00EJB,No,Yes
BNY Mellon Bond Market Index Inv,FOUSA00FO1,No,Yes
T. Rowe Price US Treasury Interm Idx I,F00000YWTQ,No,Yes
T. Rowe Price US Treasury Intmdt Idx Z,F0000167S8,No,Yes
T. Rowe Price US Treasury Interm Idx,FOUSA00EKZ,No,Yes
T. Rowe Price US Trs Long-Term Idx I,F00000YWTR,No,Yes
T. Rowe Price US Trs Long-Term Idx Z,F000014VHK,No,Yes
T. Rowe Price US Trs LongTerm Idx,FOUSA00EL0,No,Yes
Shelton S&P 500 Index Direct,FOUSA00ETR,No,Yes
Shelton S&P 500 Index K,FOUSA05GG2,No,Yes
Shelton S&P Midcap Index Direct,FOUSA00ETS,No,Yes
Shelton S&P Midcap Index K,FOUSA05GG1,No,Yes
BNY Mellon Instl S&P 500 Stk Idx I,FOUSA00ER2,No,Yes
Schwab 1000 Index?,FOUSA00EY5,No,Yes
State Street S&P 500 Index N,FOUSA00F0N,No,Yes
State Farm Interim,FOUSA00F9H,No,Yes
SEI S&P 500 Index F (SIMT),FOUSA00IU2,No,Yes
SEI S&P 500 Index I (SIMT),FOUSA04BDZ,No,Yes
iShares S&P 500 Index Institutional,F00000OJJB,No,Yes
iShares S&P 500 Index Investor A,F00000OJJC,No,Yes
iShares S&P 500 Index Service,F00000OJJE,No,Yes
iShares S&P 500 Index Investor P,F000010EBF,No,Yes
iShares S&P 500 Index G,F000013CK2,No,Yes
iShares S&P 500 Index K,FOUSA00B6B,No,Yes
Federated Hermes Mid-Cap Index IS,F00000NKAN,No,Yes
Federated Hermes Mid-Cap Index R6,F00000XM7Q,No,Yes
